Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
Phillips Brooks School,Dorchester,02121,56,56,0,0,0,0,56,56,0,Rental,Private,,,42.2860708,-71.0405204,"Philip St, Boston, MA 02122, USA",full_match
Pickle Factory (Oliver Lofts),Mission Hill,02120,62,62,0,19,19,0,43,43,0,Rental,Private,,,42.3298994,-71.1059676,"Mission Hill, Boston, MA, USA",full_match
Pine Street Harrison (SPO),South End,02118,11,11,0,0,0,0,11,11,0,Rental,Private,,,42.34319869999999,-71.0645177,"444 Harrison Ave, Boston, MA 02118, USA",full_match
Pine Street Inn (689-1),South End,02118,150,150,0,0,0,0,150,150,0,Rental,Public,,,42.34319869999999,-71.0645177,"444 Harrison Ave, Boston, MA 02118, USA",full_match
Pine Street Park Dr (SPO),Fenway,02215,22,22,0,0,0,0,22,22,0,Rental,Private,,,42.3431167,-71.102403,"Park Dr, Boston, MA 02215, USA",full_match
Pinnock (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Pond View Apartments,Jamaica Plain,02130,60,60,0,4,4,0,56,56,0,Rental,Private,,Y,42.3160029,-71.11342239999999,"564 Centre St, Jamaica Plain, MA 02130, USA",full_match
Port 45,South Boston,02127,104,0,104,91,0,91,13,0,13,Ownership,Private,,,42.3421319,-71.05428859999999,"45 W 3rd St, South Boston, MA 02127, USA",full_match
Portis Family House,Jamaica Plain,02115,7,7,0,0,0,0,7,7,0,Rental,Private,,,42.3280312,-71.1113155,"135 S Huntington Ave, Boston, MA 02130, USA",full_match
Powell (VUP),Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3355661,-71.0724101,"1 Boston Medical Center Pl, Boston, MA 02118, USA",full_match
Prang Estates,Roxbury,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,,42.3382074,-71.0967761,"Louis Prang St, Boston, MA 02115, USA",full_match
Project Family Independence,Roxbury,02119,15,15,0,0,0,0,15,15,0,Rental,Private,,,42.3278686,-71.079737,"11 Mt Pleasant Ave # 103, Roxbury, MA 02119, USA",full_match
Putnam Place,Roxbury,02121,9,1,8,2,0,2,7,1,6,Ownership/Rental,Private,,,42.3302253,-71.088225,"Putnam Pl, Boston, MA 02119, USA",full_match
Quincy Commons,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,,42.3159568,-71.0815281,"Quincy St, Boston, MA 02119, USA",full_match
Quincy Heights,Dorchester,02121,129,129,0,0,0,0,129,129,0,Rental,Private,,Y,42.3148437,-71.0792716,"Quincy St, Boston, MA 02121, USA",full_match
Quincy Tower,Chinatown,02116,161,161,0,0,0,0,161,161,0,Rental,Private,Y,,42.3483618,-71.0645691,"5 Oak St W, Boston, MA 02116, USA",full_match
RAP-UP I,Roxbury,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,Y,42.3220223,-71.0949632,"31 Marcella St, Boston, MA 02119, USA",full_match
RAP-UP II B,Roxbury,02119,51,51,0,0,0,0,51,51,0,Rental,Private,,Y,42.3492752,-71.0435312,"B St, Boston, MA, USA",full_match
Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1,0,1,6,3,3,Ownership/Rental,Private,,,42.3193396,-71.0708911,"Folsom St, Boston, MA 02125, USA",full_match
Reddick (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Renwood-Cunard,Roxbury,02120,17,17,0,0,0,0,17,17,0,Rental,Private,,,42.3363909,-71.086025,"Cunard St, Boston, MA 02120, USA",full_match
Reservoir Towers,Brighton,02135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y,42.3388921,-71.15452619999999,"1925 Commonwealth Ave, Boston, MA 02135, USA",full_match
Residences At Bigelow Court,Brighton,02135,26,0,26,23,0,23,3,0,3,Ownership/Rental,Private,,,42.3565866,-71.1658783,"Bigelow Court, Bigelow St, Brighton, MA 02135, USA",full_match
Residences at Brighton Marine,Brighton,02135,102,102,0,0,0,0,102,102,0,Rental,Private,,,42.34787,-71.1411676,"1465 Commonwealth Ave, Boston, MA 02135, USA",full_match
Residences at Dahlgren Hall,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,,42.3332821,-71.0580355,"Boston, MA 02127, USA",full_match
Residences at Fairmount Station,Hyde Park,02136,27,27,0,0,0,0,27,27,0,Rental,Private,,,42.2546218,-71.11929780000001,"11 2nd New Way, Hyde Park, MA 02136, USA",full_match
Riley House - 202,Hyde Park,02136,41,41,0,1,1,0,40,40,0,Rental,Private,Y,,42.2547507,-71.1230004,"39 Maple St, Hyde Park, MA 02136, USA",full_match
Rivers Edge Condominiums,Mattapan,02126,62,62,0,56,56,0,6,6,0,Rental,Private,,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
RMSC Family House Shelter Conversion,Dorchester,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,,42.3065441,-71.08246129999999,"Grove Hall, MA 02121, USA",full_match
Robert L. Fortes House,Roxbury,02118,44,44,0,0,0,0,44,44,0,Rental,Private,Y,Y,42.336763,-71.069334,"615 Albany St, Boston, MA 02118, USA",full_match
Robinson (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.302774,-71.0621639,"Robinson St, Boston, MA 02122, USA",full_match
Rockingham Glen,West Roxbury,02132,143,143,0,100,100,0,43,43,0,Rental,Private,,,42.2647149,-71.1564375,"30 Rockingham Ave, Boston, MA 02132, USA",full_match
Rockland 202: Warren Gardens,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,Y,,42.3239586,-71.0824785,"202 Warren St, Boston, MA 02119, USA",full_match
Rockland Towers (2-50),West Roxbury,02132,69,69,0,0,0,0,69,69,0,Rental,Public,Y,,42.2576939,-71.1584376,"Rockland St, Boston, MA 02132, USA",full_match
Rockvale Circle,Jamaica Plain,02130,30,30,0,15,15,0,15,15,0,Cooperative,Private,,,42.3073071,-71.1053642,"Rockvale Cir, Boston, MA 02130, USA",full_match
Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1,1,0,1,1,0,Rental,Private,,,42.3016411,-71.12878169999999,"1153 Centre St Fl 2, Boston, MA 02130, USA",full_match
Rollins Square - Parcel 32C,South End,02118,184,37,147,74,0,74,110,37,73,Ownership/Rental,Private,?,,42.3416737,-71.067154,"2 Rollins St, Boston, MA 02118, USA",full_match
Rope Walk Complex,Charlestown,02129,97,97,0,84,84,0,13,13,0,Rental,Private,,,42.3780349,-71.0529818,"58 13th St, Boston, MA 02129, USA",full_match
Roslindale Commons Condominiums,Roslindale,02131,12,0,12,11,0,11,1,0,1,Ownership,Private,,,42.2816753,-71.1372915,"Roslindale Ave, Boston, MA 02131, USA",full_match
Roslindale School,Roslindale,02131,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y,42.2965563,-71.0743182,"School St, Boston, MA 02124, USA",full_match
Roslindale Senior NP Hsg,Roslindale,02131,80,80,0,1,1,0,79,79,0,Rental,Private,Y,,42.2832142,-71.1270268,"Roslindale, MA 02131, USA",full_match
Roslyn/Cliffmont,Roslindale,02131,118,118,0,0,0,0,118,118,0,Rental,Public,Y,,42.2766488,-71.1206806,"Cliffmont St, Boston, MA 02131, USA",full_match
Roxbury Corners Coop,Roxbury,02118,54,54,0,13,13,0,41,41,0,Rental,Private,,,42.3361908,-71.0780022,"134 Northampton St, Roxbury, MA 02118, USA",full_match
Roxbury Crossing Senior Building,Mission Hill,02120,40,40,0,1,1,0,39,39,0,Rental,Private,Y,,42.3313709,-71.0954843,"Roxbury Crossing, 1400 Tremont St, Boston, MA 02120, USA",full_match
Roxbury Tenants of Harvard,Mission Hill,02115,20,20,0,7,7,0,13,13,0,Rental,Private,,,42.3346698,-71.1084825,"22 Vining St, Boston, MA 02115, USA",full_match
Roxse Homes,Roxbury,02118,346,346,0,0,0,0,346,346,0,Rental,Private,,Y,42.3361784,-71.08561499999999,"1050 Tremont St, Boston, MA 02120, USA",full_match
R-Prospect St,Charlestown,02129,14,0,14,11,0,11,3,0,3,Ownership,Private,,,42.3756136,-71.0580451,"Prospect St, Boston, MA 02129, USA",full_match
RTH Restoration Housing,Mission Hill,02115,81,81,0,0,0,0,81,81,0,Rental,Private,Y,Y,42.3339996,-71.1057205,"1 Fenwood Rd, Boston, MA 02115, USA",full_match
Ruggles Shawmut Housing,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental,Private,?,Y,42.3319885,-71.0837853,"41 Ruggles St, Roxbury, MA 02119, USA",full_match
Rutherford Landing,Charlestown,02129,18,18,0,16,16,0,2,2,0,Rental,Private,,,42.3808014,-71.0713433,"463 Rutherford Ave, Boston, MA 02129, USA",full_match
Rutland Square,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,,42.3418169,-71.0782516,"Rutland Sq, Boston, MA 02118, USA",full_match
Rutland/East Springfield St (2-74),South End,02118,13,13,0,0,0,0,13,13,0,Rental,Public,,,42.3359229,-71.0750483,"E Springfield St, Boston, MA 02118, USA",full_match
S Boston Hsg Initiative- Habitat,South Boston,02127,7,0,7,0,0,0,7,0,7,Ownership,Private,,,42.3396309,-71.0562515,"S Boston Byp, Boston, MA 02127, USA",full_match
Safe Haven,Back Bay,02116,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.35259,-71.072397,"15 Newbury St, Boston, MA 02116, USA",full_match
Sarah Baker Manor,Roxbury,02119,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y,42.322239,-71.0790872,"33 Perrin St, Boston, MA 02119, USA",full_match
Saratoga Heights,East Boston,02128,21,0,21,18,0,18,3,0,3,Ownership,Private,,,42.3817268,-71.0226629,"Saratoga St, Boston, MA 02128, USA",full_match
Sargent Prince SRO,Roxbury,02119,29,29,0,0,0,0,29,29,0,Rental,Private,,,42.329777,-71.085552,"51 Roxbury St, Roxbury, MA 02119, USA",full_match
Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0,0,0,16,5,11,Ownership/Rental,Private,,,42.3160356,-71.0738506,"Sargent St, Boston, MA 02125, USA",full_match
Savin Hill Apartments,Dorchester,02125,132,132,0,0,0,0,132,132,0,Rental,Private,Y,Y,42.3101115,-71.0561834,"130 Auckland St, Dorchester, MA 02125, USA",full_match
Savin Maywood Init. (Phase II),Roxbury,02119,8,0,8,0,0,0,8,0,8,Ownership,Private,,,42.3162373,-71.0802557,"Savin St, Boston, MA 02119, USA",full_match
Savin/Creston Project,Roxbury,02119,28,28,0,2,2,0,26,26,0,Rental,Private,,,42.3121352,-71.0790838,"Creston St, Boston, MA 02121, USA",full_match
Savin/Maywood (Phase III) - Home Again,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,,42.3171063,-71.0800402,"Maywood St, Boston, MA 02119, USA",full_match
Scattered Site Coop,Jamaica Plain,02130,18,18,0,3,3,0,15,15,0,Cooperative,Private,,,,,,zip_fallback
School House 77,Roxbury,02119,38,38,0,0,0,0,38,38,0,Rental,Private,?,,42.3138905,-71.0984623,"School St, Boston, MA 02119, USA",full_match
Schoolhouse Brookledge,Mattapan,02126,90,90,0,0,0,0,90,90,0,Rental,Private,Y,Y,42.3095639,-71.0898887,"Brookledge St, Boston, MA 02121, USA",full_match
Seaport Square Parcels B & C,South Boston Waterfront,02210,832,832,0,736,736,0,96,96,0,Rental,Private,,,42.3492752,-71.0435312,"B St, Boston, MA, USA",full_match
SECD Housing,Roxbury,02118,10,10,0,0,0,0,10,10,0,Rental,Private,,Y,42.3377967,-71.0705763,"Roxbury, MA 02118, USA",full_match
SECHC Cumston St,South End,02118,58,0,58,51,0,51,7,0,7,Ownership,Private,,,42.3383683,-71.07481609999999,"1601 Washington St # 3, Boston, MA 02118, USA",full_match
SETH APARTMENTS I,South End,02118,185,185,0,0,0,0,185,185,0,Rental,Private,,Y,42.3377967,-71.0705763,"Roxbury, MA 02118, USA",full_match
Seton Manor,Brighton,02135,19,19,0,0,0,0,19,19,0,Rental,Private,,,42.3515878,-71.1285536,"21 Chester St, Boston, MA 02134, USA",full_match
Shalom Properties,East Boston,02128,30,30,0,0,0,0,30,30,0,Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Shawmut Ave Lodging House,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Private,,,42.3413197,-71.0720529,"Shawmut Ave, Boston, MA 02118, USA",full_match
Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,02119,15,0,15,0,0,0,15,0,15,Ownership,Private,,,42.3327886,-71.0832205,"722a Shawmut Ave, Boston, MA 02119, USA",full_match
Shore Plaza East,East Boston,02128,380,380,0,0,0,0,380,380,0,Rental,Private,,Y,42.3809307,-71.0407457,"600 Border St, East Boston, MA 02128, USA",full_match
Signal Building,South Boston,02127,75,0,75,66,0,66,9,0,9,Ownership,Private,,,42.342109,-71.0520525,"154 W 2nd St, Boston, MA 02127, USA",full_match
Singleton (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Siochain II,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Siochain Rental Rehab Project I,East Boston,02128,12,12,0,1,1,0,11,11,0,Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Sister Clara Co-op,Dorchester,02125,25,25,0,0,0,0,25,25,0,Rental,Private,,,42.304725,-71.068192,"195 Bowdoin St, Dorchester, MA 02122, USA",full_match
Six55 Condominium,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,,42.3364553,-71.0349193,"South Boston, MA 02127, USA",full_match
Smith House,Roxbury,02119,132,132,0,0,0,0,132,132,0,Rental,Private,Y,,42.3324631,-71.0750015,"801 Albany St, Roxbury, MA 02119, USA",full_match
"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.2739732,-71.0697467,"1100 Washington St Ste: 200-201, Dorchester Center, MA 02124, USA",full_match
Soares (VUP),Roxbury,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.337757,-71.07091,"720 Harrison Ave, Boston, MA 02118, USA",full_match
Soldiers Field Rd Offsite Affordable,Allston/Brighton,02135,38,0,38,0,0,0,38,0,38,Ownership,Private,,,42.3612533,-71.1466574,"Soldiers Fld Rd, Boston, MA 02135, USA",full_match
"Sonoma, Maple, Schuyler",Roxbury,02121,115,115,0,15,15,0,100,100,0,Rental,Private,,Y,42.3080004,-71.0863988,"Sonoma St & Maple St, Boston, MA 02121, USA",full_match
Sophia Snow House,West Roxbury,02132,102,102,0,0,0,0,102,102,0,Rental,Private,?,,42.2983179,-71.13105519999999,"1205-1215 Centre St, West Roxbury, MA 02132, USA",full_match
South Bay Mixed-Use Town Center (Building D),Dorchester,02125,260,260,0,226,226,0,34,34,0,Rental,Private,,,42.3267576,-71.0630645,"8 Allstate Rd, Boston, MA 02118, USA",full_match
South Boston Coop Svc Hsg,South Boston,02127,65,65,0,0,0,0,65,65,0,Rental,Private,Y,,42.36497869999999,-71.0568821,"64 N Margin St, Boston, MA 02113, USA",full_match
South Boston Elderly Housing,South Boston,02127,50,50,0,0,0,0,50,50,0,Rental,Private,Y,,42.33352110000001,-71.0412683,"120 H St, Boston, MA 02127, USA",full_match
South Boston Housing Initiative - Cityside,South Boston,02127,5,0,5,0,0,0,5,0,5,Ownership,Private,,,42.3319036,-71.0674889,"150 Southampton St, Boston, MA 02118, USA",full_match
South Boston Portfolio,South Boston,02127,27,27,0,0,0,0,27,27,0,Rental,Private,,,42.3496487,-71.0798042,"711 Boylston St, Boston, MA 02116, USA",full_match
South Cove Apts,Downtown,02109,231,231,0,2,2,0,229,229,0,Rental,Private,Y,Y,42.35552750000001,-71.0565313,"Downtown, Boston, MA, USA",full_match
South End Apartments,Roxbury,02120,27,27,0,0,0,0,27,27,0,Rental,Private,,Y,42.33881,-71.0808029,"Boston, MA 02118, USA",full_match
SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0,0,0,5,5,0,Rental,Private,,,42.33881,-71.0808029,"Boston, MA 02118, USA",full_match
South End CHC,South End,02118,60,2,58,54,0,54,6,2,4,Ownership/Rental,Private,,,42.3383683,-71.07481609999999,"1601 Washington St # 3, Boston, MA 02118, USA",full_match
South End Coop. Housing,South End,02118,75,75,0,2,2,0,73,73,0,Rental,Private,,,42.33763099999999,-71.079235,"559 Chester Square, Roxbury, MA 02118, USA",full_match
South End Tenants I,South End,02118,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y,42.3419714,-71.0819972,"23 Wellington St, Boston, MA 02118, USA",full_match
South End Tenants II,South End,02116,185,185,0,0,0,0,185,185,0,Rental,Private,,Y,42.3419714,-71.0819972,"23 Wellington St, Boston, MA 02118, USA",full_match
South Street (200-12),Jamaica Plain,02130,132,132,0,0,0,0,132,132,0,Rental,Public,,,42.3000257,-71.1187924,"South St, Boston, MA 02130, USA",full_match
Southwest Crossing Condominium,Roslindale,02131,12,0,12,8,0,8,4,0,4,Ownership/Rental,Private,,,42.2832142,-71.1270268,"Roslindale, MA 02131, USA",full_match
Spencer House,Jamaica Plain,02119,46,46,0,0,0,0,46,46,0,Rental,Private,Y,,42.313838,-71.095924,"Spencer House, Boston, MA 02119, USA",full_match
Spring/Temple St (2-70),West Roxbury,02132,104,104,0,0,0,0,104,104,0,Rental,Public,Y,,42.2827437,-71.1654399,"Temple St, Boston, MA 02132, USA",full_match
St Botolph Apts (2-53),Back Bay,02116,132,132,0,0,0,0,132,132,0,Rental,Public,Y,,42.3471679,-71.0802329,"Prudential / St. Botolph, Boston, MA, USA",full_match
St Botolph St. Assisted Living Community,Back Bay,02118,82,82,0,28,28,0,54,54,0,Rental,Private,Y,,42.3454177,-71.0801827,"St Botolph St, Boston, MA, USA",full_match
St Botolph Street Apts,Back Bay,02115,135,135,0,43,43,0,92,92,0,Rental,Private,,Y,42.342237,-71.0840362,"St Botolph St, Boston, MA 02115, USA",full_match
St Botolph Terrace,Fenway,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y,42.3419977,-71.0840758,"353 Massachusetts Ave, Boston, MA 02115, USA",full_match
St Cecilia's House,Fenway,02115,123,123,0,0,0,0,123,123,0,Rental,Private,Y,,42.3419091,-71.098694,"108 Kilmarnock St, Boston, MA 02215, USA",full_match
St Gabriel's,Brighton,02135,670,559,111,572,476,96,98,83,15,Rental,Private,,,42.3473336,-71.1454569,"175 Washington St, Brighton, MA 02135, USA",full_match
St Helena House,South End,02118,74,74,0,1,1,0,73,73,0,Rental,Private,Y,Y,42.340089,-71.066935,"St. Helena’s Park, 115 Union Pk St, Boston, MA 02118, USA",full_match
St James Estate Condominium,Roxbury,02119,22,0,22,14,0,14,8,0,8,Ownership,Private,,,42.3268312,-71.0868173,"St James Pl, Boston, MA 02119, USA",full_match
St John of God - Market & Clergy,Brighton,02135,92,8,84,84,0,84,8,8,0,Ownership/Rental,Private,,,42.3443761,-71.1630993,"127 Lake St, Brighton, MA 02135, USA",full_match
St Josephs Housing,Roxbury,02119,137,137,0,32,32,0,105,105,,Rental,Private,,Y,42.3233045,-71.0879394,"St Joseph's Garden, Boston, MA 02119, USA",full_match
St Kevin's,Dorchester,02125,80,80,0,0,0,0,80,80,0,Rental,Private,,,42.3151387,-71.0672793,"516 Columbia Rd, Dorchester, MA 02125, USA",full_match
St Peter and Paul Church and Rectory,South Boston,02127,44,0,44,37,0,37,7,0,7,Ownership,Private,,,42.3364553,-71.0349193,"South Boston, MA 02127, USA",full_match
Stadia 50,Brighton,02135,46,0,46,40,0,40,6,0,6,Ownership,Private,,,42.3557215,-71.142904,"50 Hichborn St, Boston, MA 02134, USA",full_match
Stafford Heights/New Boston Coop,Roxbury,02119,41,41,0,0,0,0,41,41,0,Cooperative,Private,,,42.3220961,-71.0765876,"Stafford St, Boston, MA 02119, USA",full_match
Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0,0,0,19,7,12,Ownership/Rental,Private,,,42.3085679,-71.0788716,"102 Stanwood St, Boston, MA 02121, USA",full_match
Stille (VUP),South Boston,02127,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3364553,-71.0349193,"South Boston, MA 02127, USA",full_match
Stonewall at Audubon Circle Phase I,Fenway,02215,53,0,53,48,0,48,5,0,5,Ownership,Private,,,42.3466292,-71.1051045,"Audubon Circle, Boston, MA 02215, USA",full_match
Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,02130,50,50,0,0,0,0,50,50,0,Cooperative,Private,,,42.3199135,-71.1030129,"97 Lamartine St, Boston, MA 02130, USA",full_match
Stony Brook Village (formerly Canterbury Hts),Roslindale,02136,98,98,0,0,0,0,98,98,0,Rental,Private,,,42.2523209,-71.1425524,"Stonybrook Village, Boston, MA 02136, USA",full_match
Strada 234,West End,02114,108,108,0,88,88,0,20,20,0,Rental,Private,,,42.3666816,-71.05922559999999,"234 Causeway St, Boston, MA 02114, USA",full_match
Strathcona Arms (p/o Ten Most Wanted),Dorchester,02121,14,14,0,0,0,0,14,14,0,Rental,Private,,,42.3052172,-71.0793083,"Strathcona Rd, Boston, MA 02121, USA",full_match
Sullivan (VUP),Dorchester,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.2780789,-71.06622349999999,"2100 Dorchester Ave, Dorchester, MA 02124, USA",full_match
Sumner Court,Dorchester,02125,10,0,10,0,0,0,10,0,10,Ownership,Private,,,42.3167225,-71.0625635,"Sumner Park, Boston, MA 02125, USA",full_match
Sumner Hill House,Jamaica Plain,02130,75,0,75,45,0,45,30,0,30,Rental,Private,,,42.3097216,-71.1119507,"38 Greenough Ave, Jamaica Plain, MA 02130, USA",full_match
Suppressed1,South End,02118,17,17,0,0,0,0,17,17,0,Rental,Private,,,42.3377967,-71.0705763,"Roxbury, MA 02118, USA",full_match
Suppressed10,Dorchester,02124,11,11,0,0,0,0,11,11,0,Rental,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Suppressed11,Fenway,02115,75,75,0,0,0,0,75,75,0,Rental,Private,Y,,42.33993,-71.0959675,"Fenway, Boston, MA 02115, USA",full_match
Suppressed12,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Suppressed13,Fenway,02215,16,16,0,0,0,0,16,16,0,Rental,Private,,,42.3476181,-71.1002881,"Boston, MA 02215, USA",full_match
Suppressed14,Jamaica Plain,02119,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Suppressed15,Brighton,02135,18,18,0,0,0,0,18,18,0,Rental,Private,,,42.3463503,-71.1626756,"Brighton, MA 02135, USA",full_match
Suppressed16,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Private,,,42.3377967,-71.0705763,"Roxbury, MA 02118, USA",full_match
Suppressed17,East Boston,02128,18,18,0,0,0,0,18,18,0,Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Suppressed18,Dorchester,02122,4,4,0,0,0,0,4,4,0,Rental,Private,,,42.29671460000001,-71.0527482,"Dorchester, MA 02122, USA",full_match
Suppressed19,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.29671460000001,-71.0527482,"Dorchester, MA 02122, USA",full_match
Suppressed2,Roxbury,02120,75,75,0,0,0,0,75,75,0,Rental,Private,,,42.33191670000001,-71.09880249999999,"Mission Hill, MA 02120, USA",full_match
Suppressed20,Dorchester,02125,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.3157363,-71.0527482,"Dorchester, MA 02125, USA",full_match
Suppressed21,South End,02118,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3377967,-71.0705763,"Roxbury, MA 02118, USA",full_match
Suppressed22,Roxbury,02119,23,23,0,0,0,0,23,23,0,Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Suppressed23,Dorchester,02124,4,4,0,0,0,0,4,4,0,Rental,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Suppressed24,Dorchester,02124,5,5,0,0,0,0,5,5,0,Rental,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Suppressed25,Dorchester,02124,11,11,0,1,1,0,10,10,0,Rental,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Suppressed26,Downtown,02116,56,56,0,0,0,0,56,56,0,Rental,Private,,,42.35552750000001,-71.0565313,"Downtown, Boston, MA, USA",full_match
Suppressed27,Brighton,02135,102,102,0,33,33,0,69,69,0,Rental,Private,Y,,42.3463503,-71.1626756,"Brighton, MA 02135, USA",full_match
Suppressed28,Jamaica Plain,02130,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.3097365,-71.1151431,"Jamaica Plain, MA 02130, USA",full_match
Suppressed29,Mattapan,02126,8,8,0,0,0,0,8,8,0,Rental,Private,,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Suppressed3,Allston,02134,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.3593008,-71.1270268,"Allston, MA 02134, USA",full_match
Suppressed30,Roxbury,02125,13,13,0,0,0,0,13,13,0,Rental,Private,,,42.3157363,-71.0527482,"Dorchester, MA 02125, USA",full_match
Suppressed31,Beacon Hill,02114,120,120,0,0,0,0,120,120,0,Rental,Private,,,42.3652917,-71.0646337,"Boston, MA 02114, USA",full_match
Suppressed32,Roxbury,02119,19,19,0,0,0,0,19,19,0,Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Suppressed33,Beacon Hill,02114,21,21,0,1,1,0,20,20,0,Rental,Private,,Y,42.3652917,-71.0646337,"Boston, MA 02114, USA",full_match
Suppressed34,Mattapan,02126,48,48,0,0,0,0,46,46,0,Rental,Public,Y,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Suppressed35,Roxbury,02119,131,131,0,0,0,0,131,131,0,Rental,Private,,Y,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Suppressed36,Fenway,02115,48,48,0,0,0,0,48,48,0,Rental,Private,,Y,42.339904,-71.0898892,"Boston, MA 02115, USA",full_match
Suppressed4,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,Y,42.3157363,-71.0527482,"Dorchester, MA 02125, USA",full_match
Suppressed5,Dorchester,02125,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.3157363,-71.0527482,"Dorchester, MA 02125, USA",full_match
Suppressed6,West Roxbury,02132,4,4,0,0,0,0,4,4,0,Rental,Private,,,42.2797554,-71.1626756,"West Roxbury, MA 02132, USA",full_match
Suppressed7,Charlestown,02129,25,25,0,0,0,0,25,25,0,Rental,Private,,,42.37954089999999,-71.0646337,"Charlestown, MA 02129, USA",full_match
Suppressed8,Fenway,02115,14,14,0,1,1,0,13,13,0,Rental,Private,,,42.339904,-71.0898892,"Boston, MA 02115, USA",full_match
Suppressed9,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
